loan_id,checkout_date,due_date,return_date,loan_status,renewal_count,member_id,member_type,department_or_program,member_status,branch_name,book_id,title,language,publication_year,category_name,copy_id,availability_status,condition_status,checkout_librarian,checkout_role
LN000016,2024-09-08,2024-09-22,2024-09-18,returned,0,M000099,student,Literature,active,Engineering Library,B000023,Operations Management: Case Studies and Practice 23,English,2016,Management,C000089,available,good,Emma Farhadi,circulation
LN000017,2024-09-09,2024-10-07,2024-09-27,returned,0,M000270,staff,Literature,active,Central Library,B000079,"Urban Infrastructure: Concepts, Models, and Tools 79",English,1995,Civil Engineering,C000270,on_loan,good,Reza Khan,circulation
LN000018,2024-09-09,2024-09-23,2024-09-22,returned,1,M000387,student,Civil Engineering,expired,Medical Sciences Library,B000317,Modern Iran: Principles and Applications 317,English,1995,History,C001010,available,good,Mina Brown,analyst
LN000019,2024-09-09,2024-09-30,2024-09-25,returned,1,M000340,student,Psychology,active,Engineering Library,B000288,Signal Processing: A Modern Approach 288,Persian,2026,Electrical Engineering,C000918,available,new,Hana Abbasi,manager
LN000020,2024-09-10,2024-09-24,2024-09-19,returned,0,M000433,student,Mathematics,active,Engineering Library,B000139,Urban Infrastructure: Case Studies and Practice 139,English,2014,Civil Engineering,C000458,available,good,Emma Khan,circulation
LN000021,2024-09-10,2024-09-24,2024-09-23,returned,0,M000368,student,History,active,Engineering Library,B000215,Signal Processing: Case Studies and Practice 215,Persian,1991,Electrical Engineering,C000684,available,good,Hana Abbasi,manager
LN000022,2024-09-10,2024-10-01,2024-09-24,returned,0,M000267,public,,active,Graduate Research Library,B000162,Microeconomics: Case Studies and Practice 162,Persian,2019,Economics,C000520,available,good,Karim Lee,circulation
LN000023,2024-09-10,2024-09-24,2024-09-23,returned,1,M000059,student,Electrical Engineering,active,Medical Sciences Library,B000264,Modern Fiction: Case Studies and Practice 264,Persian,1997,Literature,C000840,available,worn,Reza Khan,circulation
LN000024,2024-09-10,2024-09-24,2024-09-24,returned,0,M000196,student,Chemistry,active,Medical Sciences Library,B000057,Machine Learning: Case Studies and Practice 57,English,2009,Computer Science,C000194,available,worn,Ali Lee,circulation
LN000025,2024-09-11,2024-09-25,2024-09-17,returned,0,M000192,student,History,suspended,Medical Sciences Library,B000075,Philosophy of Science: An Applied Introduction 75,English,1991,Philosophy,C000255,available,worn,Emma Farhadi,circulation
LN000026,2024-09-11,2024-09-25,2024-10-16,returned,0,M000381,student,Mechanical Engineering,active,Graduate Research Library,B000004,Machine Learning: Case Studies and Practice 4,Persian,1999,Computer Science,C000011,available,worn,Emma Martin,circulation
LN000027,2024-09-11,2024-09-25,2024-10-14,returned,0,M000236,student,Economics,active,Graduate Research Library,B000318,Business Analytics: Case Studies and Practice 318,English,1991,Management,C001017,available,good,Tara Clark,circulation
LN000028,2024-09-11,2024-10-02,2024-10-01,returned,1,M000203,student,Electrical Engineering,active,Engineering Library,B000273,Development Economics: Methods for Researchers 273,English,2008,Economics,C000871,available,good,Tara Clark,circulation
LN000029,2024-09-11,2024-10-02,2024-10-17,returned,2,M000442,student,Computer Engineering,active,Central Library,B000186,Manufacturing Systems: A Modern Approach 186,English,2012,Mechanical Engineering,C000595,available,good,Sina Moradi,admin
LN000030,2024-09-11,2024-09-25,2024-09-23,returned,3,M000386,staff,Psychology,suspended,Engineering Library,B000017,Strategic Management: Principles and Applications 17,English,1996,Management,C000066,available,good,Sophia Hosseini,manager
LN000031,2024-09-11,2024-10-09,2024-10-12,returned,0,M000328,student,Economics,expired,Central Library,B000275,Manufacturing Systems: Principles and Applications 275,Persian,2018,Mechanical Engineering,C000876,available,good,Emma Khan,circulation
LN000032,2024-09-12,2024-10-03,2024-09-23,returned,2,M000381,student,Mechanical Engineering,active,Medical Sciences Library,B000136,Development Economics: Principles and Applications 136,English,1997,Economics,C000447,lost,lost,Emma Martin,circulation
LN000033,2024-09-12,2024-09-26,2024-09-30,returned,0,M000154,public,,active,Engineering Library,B000102,Cloud Computing: Principles and Applications 102,Persian,2000,Computer Science,C000340,on_loan,good,Hana Abbasi,manager
LN000034,2024-09-12,2024-10-03,2024-09-20,returned,0,M000486,student,Psychology,active,Central Library,B000204,Literary Criticism: Principles and Applications 204,English,2007,Literature,C000644,available,worn,Olivia Martin,circulation
LN000035,2024-09-12,2024-10-17,2024-10-22,returned,0,M000232,student,Economics,active,Medical Sciences Library,B000188,Fluid Mechanics: Principles and Applications 188,English,2023,Mechanical Engineering,C000598,on_loan,good,Emma Farhadi,circulation
LN000036,2024-09-13,2024-10-04,2024-09-17,returned,0,M000339,student,Physics,suspended,Central Library,B000011,Statistical Physics: A Modern Approach 11,English,2005,Physics,C000037,available,good,Noah Johnson,admin
LN000037,2024-09-13,2024-10-04,2024-10-04,returned,1,M000031,student,Electrical Engineering,active,Engineering Library,B000234,Control Systems: An Applied Introduction 234,Persian,2022,Electrical Engineering,C000737,available,new,Noah Johnson,admin
LN000038,2024-09-13,2024-09-27,2024-10-04,returned,0,M000189,faculty,Economics,active,Medical Sciences Library,B000300,Project Management: Principles and Applications 300,English,2026,Management,C000952,available,good,Ali Khan,manager
LN000039,2024-09-13,2024-10-04,2024-09-22,returned,0,M000227,staff,Industrial Engineering,active,Engineering Library,B000282,Strategic Management: Methods for Researchers 282,English,1991,Management,C000898,available,good,Emma Farhadi,circulation
LN000040,2024-09-14,2024-09-28,2024-10-11,returned,1,M000030,student,Electrical Engineering,active,Engineering Library,B000106,Strategic Management: An Applied Introduction 106,English,2011,Management,C000357,available,good,Reza Brown,analyst
LN000041,2024-09-15,2024-10-06,2024-09-24,returned,0,M000155,student,Electrical Engineering,active,Engineering Library,B000018,Econometrics: Methods for Researchers 18,English,2024,Economics,C000068,available,good,Ali Lee,circulation
LN000042,2024-09-16,2024-10-14,2024-09-22,returned,0,M000497,public,,active,Engineering Library,B000015,Numerical Methods: An Applied Introduction 15,Persian,2002,Mathematics,C000058,lost,lost,Ali Khan,manager
LN000043,2024-09-16,2024-09-30,2024-09-27,returned,3,M000364,faculty,Physics,active,Medical Sciences Library,B000138,Probability Theory: Case Studies and Practice 138,English,1990,Mathematics,C000454,available,worn,Karim Lee,circulation
LN000044,2024-09-16,2024-10-07,2024-09-25,returned,0,M000403,faculty,Psychology,active,Graduate Research Library,B000055,Statistical Physics: A Modern Approach 55,Persian,2000,Physics,C000188,available,good,Olivia Martin,circulation
LN000045,2024-09-17,2024-10-08,2024-09-23,returned,0,M000382,staff,Mathematics,active,Engineering Library,B000002,Econometrics: Principles and Applications 2,English,2006,Economics,C000007,available,good,Olivia Martin,circulation
LN000046,2024-09-17,2024-10-08,2024-09-20,returned,1,M000113,student,Mechanical Engineering,active,Medical Sciences Library,B000185,Urban Infrastructure: Principles and Applications 185,English,2000,Civil Engineering,C000591,available,good,Emma Farhadi,circulation
LN000047,2024-09-17,2024-10-08,2024-09-25,returned,0,M000129,student,Psychology,active,Medical Sciences Library,B000285,Numerical Methods: Methods for Researchers 285,English,1998,Mathematics,C000910,available,good,Karim Lee,circulation
LN000048,2024-09-17,2024-10-01,2024-10-09,returned,0,M000516,student,Management,active,Central Library,B000302,"Research Methods: Concepts, Models, and Tools 302",Persian,1998,Psychology,C000958,available,worn,Ali Lee,circulation
LN000049,2024-09-17,2024-10-08,2024-09-19,returned,0,M000079,student,Physics,active,Medical Sciences Library,B000032,Analytical Chemistry: Principles and Applications 32,Persian,2026,Chemistry,C000123,available,good,Sina Moradi,admin
LN000050,2024-09-18,2024-10-23,2024-10-29,returned,0,M000201,faculty,Mathematics,active,Graduate Research Library,B000070,"Philosophy of Science: Concepts, Models, and Tools 70",English,2000,Philosophy,C000237,available,good,Karim Lee,circulation
LN000051,2024-09-18,2024-10-16,2024-10-03,returned,1,M000081,public,,active,Central Library,B000079,"Urban Infrastructure: Concepts, Models, and Tools 79",English,1995,Civil Engineering,C000269,available,worn,Reza Brown,analyst
LN000052,2024-09-18,2024-10-09,2024-10-06,returned,1,M000319,student,Electrical Engineering,active,Graduate Research Library,B000006,Linear Algebra: Case Studies and Practice 6,English,1995,Mathematics,C000017,available,good,Mina Brown,analyst
LN000053,2024-09-18,2024-10-09,2024-09-25,returned,0,M000382,staff,Mathematics,active,Central Library,B000008,Numerical Methods: A Modern Approach 8,Persian,1998,Mathematics,C000027,available,good,Sina Moradi,admin
LN000054,2024-09-19,2024-10-17,2024-10-08,returned,1,M000174,student,Physics,active,Engineering Library,B000198,"Microeconomics: Concepts, Models, and Tools 198",English,2008,Economics,C000634,available,worn,Emma Khan,circulation
LN000055,2024-09-19,2024-10-17,2024-10-29,returned,0,M000308,staff,Psychology,active,Graduate Research Library,B000309,Numerical Methods: Principles and Applications 309,Persian,2009,Mathematics,C000985,available,good,Sina Moradi,admin
LN000056,2024-09-19,2024-10-10,2024-09-22,returned,0,M000385,student,Electrical Engineering,active,Central Library,B000282,Strategic Management: Methods for Researchers 282,English,1991,Management,C000900,available,worn,Reza Brown,analyst
LN000057,2024-09-19,2024-10-10,2024-09-21,returned,0,M000231,staff,Electrical Engineering,active,Engineering Library,B000169,Urban History: Principles and Applications 169,English,2021,History,C000545,available,good,Tara Clark,circulation
LN000058,2024-09-19,2024-10-10,2024-10-01,returned,0,M000507,public,,active,Engineering Library,B000106,Strategic Management: An Applied Introduction 106,English,2011,Management,C000359,available,good,Emma Martin,circulation
LN000059,2024-09-20,2024-10-11,2024-10-11,returned,1,M000197,faculty,Mathematics,active,Central Library,B000072,"Analytical Chemistry: Concepts, Models, and Tools 72",English,2008,Chemistry,C000244,available,good,Tara Karimi,analyst
LN000060,2024-09-20,2024-10-11,2024-09-29,returned,0,M000092,student,Economics,active,Central Library,B000097,"Analytical Chemistry: Concepts, Models, and Tools 97",English,2003,Chemistry,C000321,available,worn,Emma Farhadi,circulation
LN000061,2024-09-20,2024-10-18,2024-09-22,returned,0,M000006,staff,Management,active,Medical Sciences Library,B000247,Research Methods: Case Studies and Practice 247,Persian,2010,Psychology,C000789,available,good,Sophia Hosseini,manager
LN000062,2024-09-20,2024-10-04,2024-09-25,returned,1,M000247,student,Chemistry,active,Central Library,B000255,Ecology: A Modern Approach 255,English,2023,Biology,C000812,maintenance,worn,Ali Lee,circulation
LN000063,2024-09-21,2024-10-05,2024-10-04,returned,0,M000043,student,History,expired,Central Library,B000038,Development Economics: Methods for Researchers 38,Persian,2000,Economics,C000141,on_loan,good,Mina Brown,analyst
LN000064,2024-09-21,2024-10-05,2024-09-30,returned,0,M000413,student,Chemistry,active,Engineering Library,B000154,"Philosophy of Science: Concepts, Models, and Tools 154",Persian,2011,Philosophy,C000494,lost,lost,Karim Lee,circulation
LN000065,2024-09-21,2024-10-12,2024-10-12,returned,1,M000129,student,Psychology,active,Central Library,B000017,Strategic Management: Principles and Applications 17,English,1996,Management,C000062,available,good,Hana Abbasi,manager
LN000066,2024-09-21,2024-10-12,2024-09-24,returned,0,M000026,public,,active,Medical Sciences Library,B000216,"Microeconomics: Concepts, Models, and Tools 216",English,2000,Economics,C000687,available,good,Karim Lee,circulation
LN000067,2024-09-21,2024-10-12,2024-09-30,returned,1,M000372,student,History,active,Engineering Library,B000089,Development Economics: An Applied Introduction 89,Persian,2012,Economics,C000299,available,good,Hana Abbasi,manager
LN000068,2024-09-22,2024-10-06,2024-10-01,returned,0,M000129,student,Psychology,active,Graduate Research Library,B000138,Probability Theory: Case Studies and Practice 138,English,1990,Mathematics,C000451,available,good,Ali Khan,manager
LN000069,2024-09-22,2024-10-13,2024-09-28,returned,0,M000002,student,Mathematics,active,Engineering Library,B000314,Data Mining: A Modern Approach 314,English,2022,Computer Science,C001002,on_loan,new,Noah Johnson,admin
LN000070,2024-09-23,2024-10-07,2024-09-29,returned,0,M000392,faculty,Industrial Engineering,active,Central Library,B000056,Logic: An Applied Introduction 56,English,2016,Philosophy,C000190,available,new,Ali Lee,circulation
LN000071,2024-09-23,2024-10-07,2024-10-30,returned,1,M000089,student,Economics,active,Medical Sciences Library,B000010,Strategic Management: Case Studies and Practice 10,English,1993,Management,C000035,available,worn,Emma Farhadi,circulation
LN000072,2024-09-24,2024-10-15,2024-10-07,returned,1,M000333,student,Mechanical Engineering,active,Engineering Library,B000003,"Construction Planning: Concepts, Models, and Tools 3",English,2023,Civil Engineering,C000009,available,worn,Tara Clark,circulation
LN000073,2024-09-24,2024-10-08,2024-10-06,returned,0,M000099,student,Literature,active,Central Library,B000011,Statistical Physics: A Modern Approach 11,English,2005,Physics,C000039,available,good,Tara Clark,circulation
LN000074,2024-09-24,2024-10-15,2024-10-06,returned,1,M000333,student,Mechanical Engineering,active,Graduate Research Library,B000219,Signal Processing: An Applied Introduction 219,English,1993,Electrical Engineering,C000698,available,good,Sina Moradi,admin
LN000075,2024-09-25,2024-10-23,2024-10-28,returned,0,M000340,student,Psychology,active,Medical Sciences Library,B000061,"Digital Circuits: Concepts, Models, and Tools 61",Persian,1998,Electrical Engineering,C000206,available,good,Tara Clark,circulation
LN000076,2024-09-25,2024-10-16,2024-10-05,returned,1,M000026,public,,active,Central Library,B000068,Microeconomics: An Applied Introduction 68,English,1993,Economics,C000228,available,worn,Emma Farhadi,circulation
LN000077,2024-09-25,2024-10-16,2024-09-30,returned,0,M000207,student,Physics,active,Central Library,B000055,Statistical Physics: A Modern Approach 55,Persian,2000,Physics,C000185,available,good,Sina Moradi,admin
LN000078,2024-09-25,2024-10-09,2024-10-07,returned,1,M000323,staff,Economics,active,Engineering Library,B000095,Construction Planning: Principles and Applications 95,English,2004,Civil Engineering,C000318,lost,lost,Emma Farhadi,circulation
LN000079,2024-09-26,2024-10-10,2024-10-09,returned,0,M000240,staff,Physics,active,Engineering Library,B000001,Microeconomics: An Applied Introduction 1,Persian,2017,Economics,C000001,lost,lost,Hana Abbasi,manager
LN000080,2024-09-27,2024-10-18,2024-10-09,returned,0,M000224,student,Civil Engineering,active,Central Library,B000104,Control Systems: Principles and Applications 104,English,1999,Electrical Engineering,C000347,available,good,Mina Brown,analyst
LN000081,2024-09-27,2024-11-01,2024-10-14,returned,0,M000284,student,Industrial Engineering,active,Central Library,B000306,"Literary Criticism: Concepts, Models, and Tools 306",Persian,2026,Literature,C000975,available,worn,Sophia Hosseini,manager
LN000082,2024-09-27,2024-10-25,2024-10-13,returned,0,M000434,faculty,Management,active,Engineering Library,B000320,Power Networks: Methods for Researchers 320,Persian,2018,Electrical Engineering,C001023,available,good,Tara Clark,circulation
LN000083,2024-09-28,2024-10-12,2024-10-05,returned,2,M000038,student,Computer Engineering,suspended,Graduate Research Library,B000242,Probability Theory: A Modern Approach 242,English,2001,Mathematics,C000767,available,good,Noah Johnson,admin
LN000084,2024-09-28,2024-10-19,2024-10-12,returned,1,M000137,staff,Electrical Engineering,active,Central Library,B000101,"Learning Theory: Concepts, Models, and Tools 101",Persian,1997,Psychology,C000334,available,good,Sina Moradi,admin
LN000085,2024-09-28,2024-10-12,2024-10-18,returned,0,M000064,student,Psychology,active,Central Library,B000094,"Classical Mechanics: Concepts, Models, and Tools 94",English,1997,Physics,C000312,available,worn,Ali Khan,manager
LN000086,2024-09-28,2024-10-19,2024-09-30,returned,0,M000080,student,Management,active,Engineering Library,B000108,Robotics: An Applied Introduction 108,English,2017,Mechanical Engineering,C000365,available,good,Emma Khan,circulation
LN000087,2024-09-28,2024-10-12,2024-10-04,returned,0,M000212,student,Physics,active,Medical Sciences Library,B000305,Linear Algebra: An Applied Introduction 305,English,2024,Mathematics,C000971,available,worn,Tara Karimi,analyst
LN000088,2024-09-29,2024-10-20,2024-10-15,returned,1,M000029,student,Physics,active,Graduate Research Library,B000023,Operations Management: Case Studies and Practice 23,English,2016,Management,C000090,on_loan,worn,Ali Lee,circulation
LN000089,2024-09-29,2024-10-13,2024-10-02,returned,2,M000031,student,Electrical Engineering,active,Central Library,B000194,Classical Mechanics: Methods for Researchers 194,English,2004,Physics,C000620,available,good,Tara Clark,circulation
LN000090,2024-09-30,2024-10-21,2024-10-14,returned,0,M000083,student,Management,active,Graduate Research Library,B000244,Ecology: A Modern Approach 244,English,2020,Biology,C000774,available,worn,Sina Moradi,admin
LN000091,2024-09-30,2024-10-21,2024-10-09,returned,0,M000424,student,Electrical Engineering,active,Engineering Library,B000190,Classical Mechanics: Principles and Applications 190,English,2015,Physics,C000606,available,worn,Karim Lee,circulation
LN000092,2024-09-30,2024-10-21,2024-10-27,returned,0,M000180,faculty,Mathematics,active,Central Library,B000228,Analytical Chemistry: Case Studies and Practice 228,Persian,2020,Chemistry,C000723,available,good,Olivia Martin,circulation
LN000093,2024-10-01,2024-10-22,2024-10-16,returned,0,M000239,student,Electrical Engineering,active,Medical Sciences Library,B000261,Algorithms: Methods for Researchers 261,English,2000,Computer Science,C000832,available,good,Karim Lee,circulation
LN000094,2024-10-01,2024-10-29,2024-10-22,returned,0,M000379,staff,Literature,suspended,Engineering Library,B000193,Operations Management: Principles and Applications 193,English,2009,Management,C000619,available,worn,Noah Johnson,admin
LN000095,2024-10-01,2024-10-15,2024-10-11,returned,0,M000090,student,Management,active,Engineering Library,B000129,Learning Theory: A Modern Approach 129,English,1998,Psychology,C000429,available,good,Olivia Martin,circulation
LN000096,2024-10-01,2024-10-22,2024-10-19,returned,2,M000050,student,Industrial Engineering,active,Graduate Research Library,B000314,Data Mining: A Modern Approach 314,English,2022,Computer Science,C001004,on_loan,good,Hana Abbasi,manager
LN000097,2024-10-01,2024-10-22,2024-10-25,returned,0,M000289,student,Chemistry,active,Engineering Library,B000034,"Ecology: Concepts, Models, and Tools 34",English,1990,Biology,C000128,available,good,Emma Martin,circulation
LN000098,2024-10-01,2024-10-15,2024-11-05,returned,1,M000293,student,Civil Engineering,suspended,Central Library,B000213,Urban History: An Applied Introduction 213,Persian,2006,History,C000678,available,good,Tara Karimi,analyst
LN000099,2024-10-01,2024-10-22,2024-10-07,returned,2,M000425,student,Economics,expired,Central Library,B000233,"Laboratory Methods: Concepts, Models, and Tools 233",Persian,1992,Chemistry,C000731,available,worn,Ali Khan,manager
LN000100,2024-10-02,2024-11-06,2024-11-16,returned,0,M000260,student,Mechanical Engineering,active,Medical Sciences Library,B000066,Algorithms: An Applied Introduction 66,English,2012,Computer Science,C000223,available,good,Reza Brown,analyst
LN000101,2024-10-02,2024-10-23,2024-10-23,returned,0,M000059,student,Electrical Engineering,active,Central Library,B000127,Manufacturing Systems: Principles and Applications 127,English,1992,Mechanical Engineering,C000421,available,good,Mina Brown,analyst
LN000102,2024-10-02,2024-10-23,2024-11-06,returned,0,M000323,staff,Economics,active,Engineering Library,B000246,Thermodynamics: Case Studies and Practice 246,English,2016,Mechanical Engineering,C000782,available,good,Sina Moradi,admin
LN000103,2024-10-03,2024-10-17,2024-10-11,returned,1,M000052,faculty,Literature,active,Graduate Research Library,B000287,Database Systems: Methods for Researchers 287,English,1991,Computer Science,C000916,available,good,Reza Khan,circulation
LN000104,2024-10-03,2024-10-17,2024-10-07,returned,1,M000303,student,Mechanical Engineering,active,Graduate Research Library,B000185,Urban Infrastructure: Principles and Applications 185,English,2000,Civil Engineering,C000592,available,good,Emma Farhadi,circulation
LN000105,2024-10-04,2024-10-25,2024-10-07,returned,0,M000063,student,Mechanical Engineering,suspended,Central Library,B000008,Numerical Methods: A Modern Approach 8,Persian,1998,Mathematics,C000027,available,good,Ali Khan,manager
LN000106,2024-10-04,2024-10-18,2024-10-12,returned,0,M000387,student,Civil Engineering,expired,Graduate Research Library,B000173,Thermodynamics: Methods for Researchers 173,Persian,1992,Mechanical Engineering,C000559,available,good,Sina Moradi,admin
LN000107,2024-10-04,2024-10-25,2024-10-16,returned,1,M000434,faculty,Management,active,Medical Sciences Library,B000119,Analytical Chemistry: Principles and Applications 119,English,2000,Chemistry,C000395,available,good,Hana Abbasi,manager
LN000108,2024-10-05,2024-10-26,2024-10-11,returned,0,M000293,student,Civil Engineering,suspended,Graduate Research Library,B000057,Machine Learning: Case Studies and Practice 57,English,2009,Computer Science,C000191,available,good,Ali Lee,circulation
LN000109,2024-10-05,2024-10-19,2024-10-18,returned,0,M000272,student,Physics,active,Engineering Library,B000105,Numerical Methods: Case Studies and Practice 105,Persian,2004,Mathematics,C000351,available,worn,Tara Karimi,analyst
LN000110,2024-10-06,2024-10-27,2024-10-10,returned,0,M000076,student,Mechanical Engineering,active,Engineering Library,B000114,Logic: Case Studies and Practice 114,English,2002,Philosophy,C000378,available,good,Reza Brown,analyst
LN000111,2024-10-07,2024-11-04,2024-11-05,returned,1,M000326,faculty,Computer Engineering,active,Engineering Library,B000136,Development Economics: Principles and Applications 136,English,1997,Economics,C000448,available,good,Reza Brown,analyst
LN000112,2024-10-07,2024-10-28,2024-10-21,returned,0,M000326,faculty,Computer Engineering,active,Engineering Library,B000017,Strategic Management: Principles and Applications 17,English,1996,Management,C000067,available,good,Olivia Martin,circulation
LN000113,2024-10-07,2024-11-04,2024-10-19,returned,0,M000290,faculty,Mechanical Engineering,active,Medical Sciences Library,B000083,Signal Processing: Methods for Researchers 83,English,2004,Electrical Engineering,C000283,available,good,Ali Lee,circulation
LN000114,2024-10-07,2024-10-28,2024-10-24,returned,1,M000405,student,Mechanical Engineering,active,Engineering Library,B000126,Signal Processing: Methods for Researchers 126,English,2011,Electrical Engineering,C000418,available,good,Hana Abbasi,manager
LN000115,2024-10-08,2024-10-22,2024-10-10,returned,1,M000456,student,Industrial Engineering,expired,Central Library,B000060,Digital Circuits: A Modern Approach 60,Persian,1996,Electrical Engineering,C000200,available,worn,Tara Clark,circulation
LN000116,2024-10-08,2024-10-22,2024-10-22,returned,1,M000069,student,Industrial Engineering,active,Medical Sciences Library,B000208,Data Mining: Methods for Researchers 208,Persian,1996,Computer Science,C000660,available,worn,Tara Karimi,analyst
LN000117,2024-10-09,2024-10-30,2024-10-17,returned,0,M000190,student,Chemistry,active,Engineering Library,B000044,Construction Planning: Methods for Researchers 44,Persian,1999,Civil Engineering,C000155,available,good,Reza Brown,analyst
LN000118,2024-10-09,2024-10-23,2024-10-22,returned,0,M000315,student,History,active,Central Library,B000293,Econometrics: Principles and Applications 293,Persian,2017,Economics,C000929,available,good,Emma Khan,circulation
LN000119,2024-10-10,2024-10-24,2024-10-18,returned,0,M000494,student,Chemistry,suspended,Graduate Research Library,B000062,Manufacturing Systems: An Applied Introduction 62,English,1998,Mechanical Engineering,C000210,available,good,Olivia Martin,circulation
LN000120,2024-10-10,2024-10-31,2024-10-25,returned,0,M000407,staff,Physics,active,Central Library,B000113,Research Methods: An Applied Introduction 113,English,1992,Psychology,C000375,available,worn,Reza Brown,analyst
LN000121,2024-10-10,2024-10-24,2024-10-20,returned,0,M000487,student,Computer Engineering,active,Medical Sciences Library,B000090,Database Systems: Methods for Researchers 90,English,2008,Computer Science,C000301,on_loan,new,Olivia Martin,circulation
LN000122,2024-10-11,2024-10-25,2024-10-24,returned,2,M000393,faculty,Chemistry,active,Engineering Library,B000080,Laboratory Methods: A Modern Approach 80,English,1991,Chemistry,C000272,available,worn,Noah Johnson,admin
LN000123,2024-10-11,2024-11-01,2024-10-20,returned,0,M000119,student,Computer Engineering,expired,Engineering Library,B000013,Database Systems: Case Studies and Practice 13,English,1993,Computer Science,C000048,maintenance,worn,Reza Brown,analyst
LN000124,2024-10-12,2024-11-02,2024-10-16,returned,0,M000372,student,History,active,Engineering Library,B000169,Urban History: Principles and Applications 169,English,2021,History,C000545,available,good,Emma Martin,circulation
LN000125,2024-10-12,2024-10-26,2024-10-16,returned,0,M000076,student,Mechanical Engineering,active,Central Library,B000282,Strategic Management: Methods for Researchers 282,English,1991,Management,C000900,available,worn,Ali Lee,circulation
LN000126,2024-10-12,2024-11-09,2024-11-01,returned,0,M000069,student,Industrial Engineering,active,Medical Sciences Library,B000142,"Philosophy of Science: Concepts, Models, and Tools 142",Persian,2008,Philosophy,C000466,available,good,Sophia Hosseini,manager
LN000127,2024-10-13,2024-11-03,2024-10-17,returned,0,M000478,staff,Mechanical Engineering,active,Engineering Library,B000243,Development Economics: A Modern Approach 243,Persian,2000,Economics,C000770,retired,good,Reza Khan,circulation
LN000128,2024-10-13,2024-11-03,2024-10-15,returned,0,M000160,student,Electrical Engineering,active,Engineering Library,B000107,Molecular Biology: An Applied Introduction 107,Arabic,2002,Biology,C000361,lost,lost,Tara Clark,circulation
LN000129,2024-10-13,2024-11-10,2024-10-22,returned,0,M000043,student,History,expired,Central Library,B000072,"Analytical Chemistry: Concepts, Models, and Tools 72",English,2008,Chemistry,C000244,available,good,Olivia Martin,circulation
